"","gene.name","mean.exp","mean.disp","mean.disp2","opt.exp","opt.disp","opt.disp2"
"594","Ttll7",2.79358839985716,3.13506951170465,1.32483428341156,0.828337874659411,0.729336966394196,0.36966394187103
"595","Gm29771",3.54632130450014,4.0869547011374,1.63209558407548,0.830154405086296,0.871026339691201,0.491371480472303
"596","Gm43573",1.62161549726664,2.00351975115956,1.60306646528455,0.180744777475023,0.336966394187106,0.504087193460496
"597","Nexn",2.9895247268977,3.27604312002086,1.71540159762488,0.771117166212544,0.695731153496829,0.548592188919171
"598","St6galnac5",2.28635502320012,1.93305921181898,2.1971997650769,0.327883742052682,0.313351498637605,0.741144414168946
"599","Negr1",2.10812403099279,1.95764901661797,2.86847810178397,0.0199818346957311,0.237057220708448,0.981834695731166
"600","4930592C13Rik",2.7021345469761,3.774455263268,1.27151317128522,0.520435967302458,0.700272479564041,0.35785649409628
"601","1810013D15Rik",2.27351246272854,2.08977435087436,1.24613294453413,0.32697547683924,0.32697547683924,0.349682107175298
"602","B230334C09Rik",4.15566322014356,4.5276384349531,1.31386320889928,1.00000000000001,0.942779291553146,0.384196185286107
"603","Lrrc7",4.09404500226048,5.12224649689941,1.74188938623172,1.00000000000001,0.992733878292474,0.629427792915539
"604","Depdc1a",3.66428886872955,4.00063790420048,1.13762694802162,1.00000000000001,0.913714804722991,0.304268846503182
"605","Wls",2.19020008011313,2.80565396798954,1.49312944743516,0.0526793823796548,0.643960036330616,0.476839237057226
"606","Tox",2.91541614859661,2.03147697444698,2.21848943418298,0.811080835604006,0.287011807447777,0.760217983651235
"607","Chd7",0.560388196010037,1.37630704867741,0.918644014436007,0,0.0644868301544051,0.179836512261581
"608","Clvs1",3.79001273721917,2.52999541326351,2.12136671384621,1.00000000000001,0.476839237057226,0.899182561307913
"609","Plekhf2",0.725471012370264,2.47917205933218,2.39613608687421,0,0.435967302452321,0.910081743869221
"610","Gm11827",1.972668616586,2.49489763365316,1.34829069956831,0.320617620345144,0.483197093551322,0.380563124432338
"611","Trp53inp1",3.23132191468439,2.60444565616642,1.34344098173793,1.00000000000001,0.544050862851959,0.393278837420531
"612","Ccne2",3.5385913925955,1.93828816965371,1.93834450660228,1.00000000000001,0.207992733878294,0.69209809264306
"613","Gem",2.23930839256164,1.73012921565562,1.74161320215533,0.356948228882837,0.247048138056314,0.57947320617621
"614","Runx1t1",4.35789140099046,1.56702428225843,2.73404063293309,1.00000000000001,0.188010899182562,0.933696639418722
